advancements.miragefairy2024.aura_reflector_furnace.description,Build an Aura Reflector Furnace and feed it with soul fuel,オーラ反射炉を作って魂の燃料をくべよう
advancements.miragefairy2024.aura_reflector_furnace.title,Polymerization of the Ego,自我の重合
advancements.miragefairy2024.bag.description,Craft a bag that can store a decent number of specific items,特定のアイテムをそこそこ収納できるカバンを作成する
advancements.miragefairy2024.bag.title,Explore the Overworld!!,インベに余裕があるなら探検しよう！！
advancements.miragefairy2024.builders_rod.description,Craft a Builder's Rod from materials such as Nephrite and Calculite,ネフライトや理天石からビルダーズロッドをクラフトする
advancements.miragefairy2024.builders_rod.title,Weaver of Everyday Life,暮らしを紡ぐもの
advancements.miragefairy2024.calculite.description,Obtain Calculite from the special drop of Xarpie Luminara,シャルピエ・ルミナーラの特殊品ドロップから理天石を手に入れる
advancements.miragefairy2024.calculite.title,Edge of Chaos,混沌の縁
advancements.miragefairy2024.chaos_cube.description,Defeat the Chaos Cube that appears in the Dripstone Cave Ruin,鍾乳洞の遺跡に出現する混沌のキューブを倒す
advancements.miragefairy2024.chaos_cube.title,Magical Control Program,魔導制御プログラム
advancements.miragefairy2024.chaos_stone.description,Obtain Chaos Stone from Weathered Ancient Remnants and other locations around the world,風化した旧世代の遺構やその他の世界中の場所にある混沌の石を入手する
advancements.miragefairy2024.chaos_stone.title,The World of Science,知られざる科学の世界
advancements.miragefairy2024.deep_fairy_forest.description,Travel the overworld and discover the Deep Fairy Forest,地上を旅して妖精の樹海を探す
advancements.miragefairy2024.deep_fairy_forest.title,The Forest of Memories,記憶の森
advancements.miragefairy2024.diamond_luminaria.description,Search for Diamond Luminaria in a cold biome,寒冷バイオームでダイヤモンドルミナリアを探す
advancements.miragefairy2024.diamond_luminaria.title,Even Carbon Freezes,炭素も凍る季節
advancements.miragefairy2024.dripstone_caves_ruin.description,Unearth a map from the Weathered Ancient Remnants and explore the Dripstone Cave Ruin,風化した旧世代の遺構から地図を発掘し、鍾乳洞の遺跡を訪れる
advancements.miragefairy2024.dripstone_caves_ruin.title,The Ancient Future Civ,古代の未来文明
advancements.miragefairy2024.emerald_luminaria.description,Search for Emerald Luminaria in a plant-rich biome,植物の繁茂するバイオームでエメラルドルミナリアを探す
advancements.miragefairy2024.emerald_luminaria.title,Money Tree,お金のなる木
advancements.miragefairy2024.fairy_collector.description,Place four chests in the Fairy House,妖精の家にチェストを置く
advancements.miragefairy2024.fairy_collector.title,Cleaner Driven by Curiosity,好奇心の収集家
advancements.miragefairy2024.fairy_crystal.description,Cultivate Mirage flowers and harvest a rare item,妖花ミラージュを栽培し希少品を収穫する
advancements.miragefairy2024.fairy_crystal.title,Organic Amorphous Material,水晶の飴
advancements.miragefairy2024.fairy_forest.description,Travel the overworld and discover the Fairy Forest,地上を旅して妖精の森を探す
advancements.miragefairy2024.fairy_forest.title,Fairylands,世界のそこかしこにあるおとぎの国
advancements.miragefairy2024.fairy_house.description,Hollow out a log to create a home for fairies,原木をくりぬいて妖精の住み家を作ろう
advancements.miragefairy2024.fairy_house.title,My New Home,新しい我が家
advancements.miragefairy2024.fairy_quest_card.description,Look for the Fairy Quest Card lying around nearby,その辺に落ちているフェアリークエストカードを探そう
advancements.miragefairy2024.fairy_quest_card.title,Time Crystal Radio,時間結晶ラジオ
advancements.miragefairy2024.fairy_statue_fountain.description,Throw a Fairy Jewel into a fairy statue fountain,妖精の像の泉にフェアリージュエルを投げ込もう
advancements.miragefairy2024.fairy_statue_fountain.title,The Desire for Rerolls,リセマラの誘い
advancements.miragefairy2024.fermentation_barrel.description,Craft a Fermentation Barrel for alcoholic beverages and certain poisons,アルコール飲料および一部の毒物のための醸造樽を作る
